 v-sweep         v(out)          i(vout)         v(mid)         
 0.00000000e+00  0.00000000e+00 -1.23831793e-30 -3.82984926e-28 
 1.74500000e+00  1.74500000e+00 -4.51173752e-04  2.47524864e-01 
 1.75000000e+00  1.75000000e+00 -4.51184515e-04  2.47558995e-01 
 1.75500000e+00  1.75500000e+00 -4.51195258e-04  2.47593112e-01 
 1.76000000e+00  1.76000000e+00 -4.51205982e-04  2.47627215e-01 
 1.76500000e+00  1.76500000e+00 -4.51216688e-04  2.47661304e-01 
 1.77000000e+00  1.77000000e+00 -4.51227374e-04  2.47695380e-01 
 1.77500000e+00  1.77500000e+00 -4.51238042e-04  2.47729441e-01 
 1.78000000e+00  1.78000000e+00 -4.51248692e-04  2.47763488e-01 
 1.78500000e+00  1.78500000e+00 -4.51259322e-04  2.47797521e-01 
 1.79000000e+00  1.79000000e+00 -4.51269934e-04  2.47831541e-01 
 1.79500000e+00  1.79500000e+00 -4.51280527e-04  2.47865546e-01 
 1.80000000e+00  1.80000000e+00 -4.51291101e-04  2.47899537e-01 
